,facility_id,facility_name,facility_type,capacity_type,capacity_count,region,license_issue_date,inspection_date,gps_location,remarks
19,af30f0,Bradley PLC,clinic,unknown,unknown,St. George,2020-08-20 00:00:00,2018-05-16 00:00:00,12°51′29″N 59°7′49″W,Loved it
20,00017,Wagner LLC 🏥,unknown,bed,10,Christ Church,2016-12-09 00:00:00,2023-07-24 00:00:00,"13.09928, -58.88444",Loved it
21,6f82f6,Case and Sons Polyclinic,polyclinic,bed,166,St. James,2018-09-10 00:00:00,2024-09-25 00:00:00,"13.07409, -58.84039",unknown
22,00019,"Rodriguez, Mayer and Hamilton",clinic,cot,474,St. Jospeh,2025-12-31 00:00:00,2024-02-27 00:00:00,-58.71602;12.98428,unknown
23,2ba130,Brown PLC Polyclinic,polyclinic,unknown,unknown,St. James,2016-07-07 00:00:00,2024-05-28 00:00:00,12°43′45″N 59°17′10″W,Reinspection due
26,022,Baker-Taylor Hosp.,unknown,unknown,unknown,St. Jospeh,2018-02-04 00:00:00,2019-06-02 00:00:00,"-59.24115, 12.70994",unknown
28,#23,"Allen, Riley and Kennedy©",hospital,unknown,unknown,St. Peter,2025-10-22 00:00:00,2022-10-31 00:00:00,unknown,Reinspection due
30,024,Lowe-Morris Health Centre,community health centre,unknown,408,St. John,2017-01-04 00:00:00,2025-11-23 00:00:00,unknown,none
31,HF-0025,"Adams,-Silva-and-Davidson Medical Center (St.)",unknown,cot,99,St. George,2021-09-03 00:00:00,2025-12-11 00:00:00,POINT(-59.06883 13.11901),none
33,3b7308,"Miller, Pennington and Blake",hospital,unknown,unknown,St. Peter,2022-06-23 00:00:00,2022-05-02 00:00:00,-58.84368;12.85638,unknown
34,00028,Johnson Group Clinic,community health centre,bed,10,St. Michael,2023-07-25 00:00:00,2021-06-25 00:00:00,POINT(-59.24123 13.12849),Loved it
36,029,"Bentley, Scott and Graves Clinic",unknown,unknown,unknown,St. Jospeh,2019-12-22 00:00:00,2019-10-30 00:00:00,"13.24629, -58.98848",none
38,030,Owens Ltd 🏥 (semaJ),hospital,unknown,495,St. James,2022-08-03 00:00:00,2025-02-28 00:00:00,POINT(-58.80217 13.14441),Follow-up 2023
40,00031,"Price, Andrews and Scott Medical Center",community health centre,unknown,unknown,St. Andrew,2023-07-22 00:00:00,2019-11-06 00:00:00,unknown,unknown
42,033,Cook-Dean (CHRIST),clinic,bed,42,Christ Church,2024-04-04 00:00:00,2020-07-22 00:00:00,-59.05377;13.23725, 
44,776a5f,"Cook, Potter and Fritz (christ)",community health centre,unknown,unknown,Christ Church,2025-12-27 00:00:00,2023-04-21 00:00:00,POINT(-58.83182 12.77064),unknown
45,00035,Johnson Ltd Hosp. (nhoJ),community health centre,unknown,295,St. John,2017-01-20 00:00:00,2024-07-29 00:00:00,12°58′33″N 58°56′32″W,Loved it
46,00036,Harvey PLC Clinic (ST.),unknown,unknown,unknown,St. Peter,2021-08-21 00:00:00,2022-05-20 00:00:00,-59.18486;13.03728,Needs upgrade
48,00037,Jones Group Hosp. (St.),clinic,bed,75,St. George,2020-12-30 00:00:00,2022-03-11 00:00:00,"13.29409, -58.72088",Good
50,038,Chapman PLC 🏥 (Christ),community health centre,bed,375,Christ Church,2025-02-11 00:00:00,2018-01-05 00:00:00,POINT(-59.15735 12.70734),Good
51,da683e,"Good,-Martin-and-Wade",hospital,bed,10,St. Lucy,2022-01-31 00:00:00,2019-04-06 00:00:00,POINT(-58.98195 12.80190),none
52,#40,Taylor-Turner Health Centre (St.),community health centre,unknown,424,St. George,2017-11-18 00:00:00,2021-09-02 00:00:00,"-58.77812, 13.24369",Needs upgrade
53,a677b0,"Richardson,-Spencer-and-Johns Hosp.",clinic,bed,56,Christ Church,2020-12-17 00:00:00,2021-10-08 00:00:00,POINT(-59.04428 12.74772),Follow-up 2023
55,042,Kennedy-Arnold Infirmary,community health centre,unknown,123,St. Jospeh,2025-08-24 00:00:00,2018-11-09 00:00:00,unknown,Follow-up 2023
57,#43,"Grimes, Wilson and Harvey Health Centre",unknown,cot,353,St. Michael,2024-04-13 00:00:00,2021-09-19 00:00:00,-58.86839;13.12192,Good
58,#44,Nguyen-Poole Health Centre (St),clinic,bed,387,St. Lucy,2017-06-01 00:00:00,2022-03-23 00:00:00,unknown,Good
60,00045,Pierce and Sons Polyclinic,clinic,bed,10,St. Peter,2024-11-24 00:00:00,2020-01-06 00:00:00,POINT(-59.15415 13.04323),Reinspection due
62,#46,Contreras-Moreno Hospital,community health centre,unknown,99,St. Michael,2016-08-28 00:00:00,2024-11-24 00:00:00,POINT(-58.99580 13.11947),Loved it
67,00049,Shepard-PLC,clinic,unknown,unknown,St. Jospeh,2016-06-19 00:00:00,2023-04-08 00:00:00,13°3′0″N 58°48′9″W, 
69,00050,"Bean, Colon and Baird Infirmary",clinic,unknown,unknown,St. Lucy,2024-03-22 00:00:00,2024-07-03 00:00:00,13°16′37″N 58°52′22″W,Loved it
72,cc6b95,Day-Payne,community health centre,unknown,497,St. Jospeh,2023-06-01 00:00:00,2024-06-22 00:00:00,-58.91812;13.04085,Good
73,053,Turner-and-Sons,polyclinic,bed,226,St. James,2023-03-28 00:00:00,2025-07-30 00:00:00,13°15′17″N 58°51′40″W,Good
74,054,"Thomas-Rogers Clinic
NewLine",unknown,cot,308,Christ Church,2021-01-30 00:00:00,2022-07-10 00:00:00,POINT(-58.91888 13.24203),Good
76,#55,Thompson-Macias Hosp.,unknown,unknown,47,St. George,2016-05-04 00:00:00,2021-03-11 00:00:00,-59.03403;12.79026,none
77,#56,"Webb,-King-and-Logan©",clinic,unknown,223,St. Michael,2017-12-05 00:00:00,2018-03-19 00:00:00,"12.73912, -59.05921",Reinspection due
78,057,Taylor-Welch 🏥 (ST.),clinic,unknown,unknown,St. Peter,2024-01-09 00:00:00,2022-03-03 00:00:00,13°11′17″N 59°13′59″W,unknown
80,a6886a,Walton-Hensley,hospital,bed,10,St. Lucy,2022-03-05 00:00:00,2018-01-18 00:00:00,"13.24493, -59.10481",none
81,059,Luna LLC Health Centre,community health centre,unknown,unknown,St. Michael,2024-02-02 00:00:00,2025-01-22 00:00:00,"12.99003, -59.21087",Loved it
82,060,Salazar LLC 🏥💊,community health centre,unknown,unknown,St. Jospeh,2025-11-30 00:00:00,2019-02-22 00:00:00,unknown,unknown
83,#61,Mccarty-Atkins Infirmary,hospital,bed,100,St. James,2024-11-08 00:00:00,2022-02-12 00:00:00,unknown,unknown
84,062,Stevenson-Powell Hospital (ST.),unknown,cot,300,St. Andrew,2018-05-10 00:00:00,2021-05-09 00:00:00,POINT(-59.27002 13.11210),Loved it
87,6b470a,Brown-Harrison (ST.),polyclinic,unknown,316,St. Jospeh,2019-10-16 00:00:00,2020-06-18 00:00:00,-59.11447;13.02715,unknown
90,066,Nelson-Long Hosp. (Christ),hospital,bed,38,Christ Church,2017-04-01 00:00:00,2018-05-21 00:00:00,-58.71194;13.01829,none
93,068,Henderson Ltd Hospital (ST.),unknown,unknown,unknown,St. James,2016-09-20 00:00:00,2019-09-27 00:00:00,"-59.28952, 13.18085",Needs upgrade
95,070,Wiggins-Rivas Medical Center (St.)💊,community health centre,bed,115,St. Lucy,2025-03-05 00:00:00,2023-05-11 00:00:00,"-58.82087, 13.26942", 
97,071,"Barnes-Mccarty
NewLine",unknown,bed,246,St. James,2023-02-04 00:00:00,2021-10-09 00:00:00,unknown,none
98,#72,Jimenez-Rodgers Hospital,hospital,unknown,unknown,Christ Church,2022-12-01 00:00:00,2023-07-19 00:00:00,-58.89774;12.70043,unknown
99,#73,Chambers-Hickman (St.John),clinic,bed,322,St. John,2016-03-22 00:00:00,2024-07-09 00:00:00,unknown,none
101,HF-0074,Lindsey-Li 🏥 (St),clinic,unknown,unknown,St. Peter,2025-11-21 00:00:00,2019-03-23 00:00:00,"13.19106, -58.83552",Reinspection due
102,075,Kim Inc Clinic,unknown,unknown,unknown,Christ Church,2017-09-04 00:00:00,2018-02-02 00:00:00,POINT(-59.13231 13.11191),Reinspection due
104,076,Davis-Salazar Medical Center (St.),clinic,cot,176,St. Andrew,2024-01-18 00:00:00,2024-07-28 00:00:00,unknown,unknown
105,00077,Fields-Sloan Medical Center,polyclinic,unknown,unknown,St. Michael,2021-07-30 00:00:00,2020-08-14 00:00:00,-58.70963;12.85988,Needs upgrade
106,e2b345,"Malone, Jones and Robbins Infirmary",community health centre,unknown,480,St. Michael,2023-08-08 00:00:00,2020-02-11 00:00:00,"-59.03151, 12.96314",Reinspection due
111,082,Green-Gill Polyclinic,community health centre,unknown,unknown,Christ Church,2020-05-06 00:00:00,2022-05-24 00:00:00,unknown,Follow-up 2023
113,083,"Williams, Schwartz and Bishop Hospital (werdnA)",unknown,bed,230,St. Andrew,2022-08-23 00:00:00,2024-10-04 00:00:00,"-59.27525, 12.94418",unknown
117,#86,Hill-Camacho Health Centre,clinic,bed,134,St. Jospeh,2021-05-22 00:00:00,2025-05-06 00:00:00,"-58.98870, 12.99454",unknown
120,#89,Snyder-Morales Medical Center (St.),clinic,unknown,166,St. Jospeh,2021-03-11 00:00:00,2018-12-26 00:00:00,12°44′40″N 59°6′27″W,Good
124,HF-0091,"Pineda Group
NewLine",hospital,bed,62,Christ Church,2019-02-19 00:00:00,2024-05-15 00:00:00,unknown,unknown
127,0ca67e,Anderson-Stokes,community health centre,cot,468,St. Michael,2025-07-13 00:00:00,2021-04-02 00:00:00,12°56′25″N 58°54′48″W,unknown
129,#94,Fox Ltd (St.),clinic,unknown,191,St. Peter,2016-05-06 00:00:00,2021-10-06 00:00:00,"12.95493, -59.11045",Needs upgrade
130,095,"Ray, Smith and Turner Hosp. (st.)",community health centre,unknown,345,St. Lucy,2016-06-05 00:00:00,2021-01-10 00:00:00,"13.07508, -58.70656",Good
131,d72c1e,Cruz Ltd Health Centre (ST.),community health centre,bed,10,St. Jospeh,2024-12-27 00:00:00,2021-06-13 00:00:00,POINT(-58.70674 13.06407),Follow-up 2023
134,427288,"Johnson, Miller and Flores 🏥 (ST.)",polyclinic,bed,85,St. Michael,2020-07-28 00:00:00,2020-03-11 00:00:00,"13.23448, -59.04058",Follow-up 2023
135,HF-0099,Gallegos PLC (christ),hospital,unknown,unknown,Christ Church,2017-06-07 00:00:00,2025-06-19 00:00:00,"-59.14330, 13.22849",Good
136,HF-0100,Daniels-Murphy 🏥,community health centre,unknown,unknown,St. James,2022-12-14 00:00:00,2023-05-28 00:00:00,unknown,Loved it
138,8c3ae9,Clark-Flynn©,clinic,unknown,unknown,St. John,2019-04-21 00:00:00,2021-08-27 00:00:00,"-59.11628, 13.22592",unknown
140,102,Harris-Esparza (ChristChurch),community health centre,unknown,488,Christ Church,2025-07-30 00:00:00,2021-10-07 00:00:00,unknown,Loved it
142,00103,Gray-Turner Clinic (st.),community health centre,bed,64,St. Michael,2024-12-16 00:00:00,2021-11-08 00:00:00,unknown,none
143,104,George Ltd Clinic (St)©,community health centre,cot,71,St. Andrew,2018-05-24 00:00:00,2024-08-11 00:00:00,"-58.87857, 13.05713",Reinspection due
144,HF-0105,Green-Manning Health Centre,hospital,unknown,unknown,Christ Church,2019-08-08 00:00:00,2024-08-28 00:00:00,POINT(-58.98327 12.71436),Follow-up 2023
147,#107,Mcbride LLC Clinic (st.),clinic,unknown,101,St. Andrew,2020-08-17 00:00:00,2019-06-03 00:00:00,12°47′21″N 59°4′33″W,unknown
149,#109,Camacho-Cross Hosp.,unknown,unknown,unknown,St. Lucy,2025-07-01 00:00:00,2019-05-23 00:00:00,POINT(-58.97269 12.85044),Good
151,110,"Walker, Ortiz and Hansen Hosp. (St)",clinic,bed,285,St. John,2017-08-13 00:00:00,2020-07-20 00:00:00,-58.80099;13.14742,unknown
153,#111,Hardy-Contreras (St.),community health centre,bed,10,St. Peter,2020-12-14 00:00:00,2021-10-03 00:00:00,13°16′51″N 59°7′53″W,Good
154,2d8089,"Richardson,-Morales-and-Terry Health Centre",community health centre,unknown,unknown,St. James,2024-08-17 00:00:00,2019-12-16 00:00:00,13°1′1″N 58°59′37″W,unknown
155,00113,Miller-Shelton Infirmary (hpesoJ),clinic,unknown,unknown,St. Joseph,2020-03-15 00:00:00,2019-02-22 00:00:00,12°59′6″N 59°1′9″W,unknown
157,00114,"Walsh,-Garcia-and-Knox 🏥",clinic,unknown,314,St. James,2017-04-30 00:00:00,2024-08-06 00:00:00,"13.12108, -58.78480",Reinspection due
158,00115,Mcdaniel Inc Health Centre,polyclinic,bed,75,St. James,2023-05-23 00:00:00,2022-10-10 00:00:00,"-59.02809, 13.03301",none
159,HF-0116,Harrison-White (St.),community health centre,bed,28,St. John,2022-08-14 00:00:00,2021-03-24 00:00:00,"-59.21310, 12.73681",Needs upgrade
160,HF-0117,Adams-Curry Hosp.,unknown,unknown,43,St. Michael,2018-10-22 00:00:00,2024-10-13 00:00:00,"13.09176, -59.19394", 
161,HF-0118,Brady PLC,hospital,unknown,unknown,St. Michael,2021-02-19 00:00:00,2019-03-31 00:00:00,"13.06796, -58.97284", 
162,00119,Smith-Lloyd Medical Center (St.),unknown,bed,136,St. James,2021-10-07 00:00:00,2019-02-24 00:00:00,-59.09180;12.82763,Good
163,00120,"Perez, Hopkins and Smith 🏥",polyclinic,unknown,unknown,St. John,2017-01-18 00:00:00,2024-04-24 00:00:00,POINT(-59.22920 13.09093),unknown
166,#122,"Hayes,-Brown-and-Hood Polyclinic",unknown,cot,351,St. John,2020-10-05 00:00:00,2025-02-15 00:00:00,POINT(-59.14294 12.99770),Follow-up 2023
167,#123,Stewart-Webb 🏥 (Christ),community health centre,bed,10,Christ Church,2018-11-16 00:00:00,2019-10-13 00:00:00,13°14′24″N 59°15′8″W,Good
169,124,Fowler-Wright Infirmary (St.),community health centre,unknown,unknown,St. Peter,2025-06-09 00:00:00,2018-05-25 00:00:00,13°2′53″N 58°48′3″W,Reinspection due
170,125,"Anderson, Wagner and Williams Hospital",clinic,bed,299,St. James,2020-08-29 00:00:00,2019-06-28 00:00:00,13°1′20″N 58°50′36″W, 
171,HF-0126,Moore-Brown Clinic (Christ),polyclinic,bed,328,Christ Church,2020-10-31 00:00:00,2019-12-21 00:00:00,-58.89934;13.13815, 
173,af7b16,"Taylor, Cabrera and Swanson Clinic",community health centre,bed,217,St. John,2021-05-19 00:00:00,2020-02-16 00:00:00,unknown,Good
174,307989,Snyder-Moore,unknown,unknown,450,St. John,2021-06-23 00:00:00,2025-01-28 00:00:00,13°5′46″N 59°11′20″W,Loved it
175,129,Swanson-Ltd Hosp. (St),hospital,unknown,unknown,St. Peter,2024-11-30 00:00:00,2024-10-02 00:00:00,"13.00962, -59.27337",Loved it
177,HF-0131,Clements-PLC Hospital,clinic,unknown,56,St. Lucy,2016-12-17 00:00:00,2020-03-14 00:00:00,12°57′56″N 59°2′14″W,unknown
179,#132,Peterson PLC Clinic,community health centre,cot,292,St. George,2023-06-07 00:00:00,2021-07-04 00:00:00,POINT(-59.17851 13.20252),Needs upgrade
180,00133,Woods-Ltd,community health centre,bed,54,St. John,2023-08-22 00:00:00,2019-03-27 00:00:00,13°11′5″N 59°8′5″W,unknown
181,134,Kerr-Vincent,community health centre,bed,10,St. George,2020-12-07 00:00:00,2025-06-19 00:00:00,"-58.81630, 12.90485",Reinspection due
184,a6e6a5,Gutierrez-Lawson Polyclinic (St),hospital,unknown,210,St. Lucy,2022-04-07 00:00:00,2022-08-30 00:00:00,"-58.94292, 12.99588", 
185,HF-0137,"Garcia, Eaton and Hooper Hosp.",clinic,unknown,unknown,St. Andrew,2021-01-11 00:00:00,2021-07-30 00:00:00,12°45′5″N 58°59′55″W,Reinspection due
188,6df688,Good-Bailey Medical Center (St.),polyclinic,unknown,314,St. John,2019-06-28 00:00:00,2025-06-07 00:00:00,"12.77955, -59.19385",Follow-up 2023
189,a22848,Mercado and Sons (St.John),polyclinic,unknown,199,St. John,2018-11-01 00:00:00,2021-11-11 00:00:00,unknown,Reinspection due
191,f22c91,"Bowen, Curry and Neal Hospital",clinic,bed,10,St. Michael,2025-12-10 00:00:00,2021-10-18 00:00:00,POINT(-58.79109 13.21132),none
192,143,Parker-Inc Clinic,community health centre,bed,345,Christ Church,2016-02-02 00:00:00,2022-03-23 00:00:00,POINT(-58.79975 12.96476),Follow-up 2023
193,0d5aae,Curtis Inc Medical Center,unknown,unknown,unknown,St. Peter,2023-12-24 00:00:00,2023-10-06 00:00:00,-58.83137;13.29130,none
194,HF-0145,"Arnold, White and Barrett Clinic (semaJ)",community health centre,bed,199,St. James,2025-08-31 00:00:00,2019-03-18 00:00:00,unknown,unknown
195,146,Ward-Hudson Hospital,community health centre,unknown,495,St. Lucy,2017-07-03 00:00:00,2018-10-05 00:00:00,POINT(-58.77636 12.81417),none
197,148,"Mccarthy,-Andersen-and-Jones",community health centre,unknown,unknown,St. George,2022-11-19 00:00:00,2024-01-07 00:00:00,13°0′11″N 59°7′1″W,Good
199,#149,Bell-and-Sons Infirmary,unknown,unknown,unknown,St. Jospeh,2022-02-07 00:00:00,2023-06-24 00:00:00,-58.96930;13.08021,none
200,00150,"Hancock, Sanchez and Lin Health Centre (st.)",community health centre,unknown,unknown,St. Michael,2020-07-06 00:00:00,2024-06-22 00:00:00,POINT(-58.77626 12.73962),Follow-up 2023
207,#155,Graves and Sons,community health centre,bed,129,St. Michael,2023-05-12 00:00:00,2020-08-11 00:00:00,"-58.79872, 13.29619",Loved it
209,HF-0157,Cisneros and Sons Medical Center,community health centre,bed,344,St. Peter,2020-10-09 00:00:00,2019-10-25 00:00:00,"13.07899, -58.84994",unknown
210,#158,Lewis-Hernandez (ST.),community health centre,bed,95,St. Lucy,2017-10-17 00:00:00,2022-05-17 00:00:00,-58.99437;12.80165,Reinspection due
211,HF-0159,"Harris, Martin and Hayden Health Centre (egroeG)",unknown,unknown,191,St. George,2025-04-07 00:00:00,2020-11-25 00:00:00,"-59.00318, 12.97798",unknown
212,HF-0160,Hernandez-Green Hospital (hpesoJ),polyclinic,unknown,unknown,St. Joseph,2024-03-18 00:00:00,2018-02-09 00:00:00,POINT(-58.91908 13.19163), 
213,HF-0161,Ingram-Thomas Clinic (St.Joseph),clinic,cot,396,St. Jospeh,2020-07-05 00:00:00,2025-01-25 00:00:00,"13.08661, -59.14029",unknown
214,#162,Cooper-Gardner Medical Center,hospital,bed,46,St. Jospeh,2017-10-24 00:00:00,2021-03-28 00:00:00,POINT(-58.89165 12.75936),Follow-up 2023
215,00163,Walker PLC,community health centre,bed,10,Christ Church,2018-04-01 00:00:00,2024-10-19 00:00:00,unknown,Good
217,164,Nash Inc Health Centre,clinic,unknown,unknown,Christ Church,2017-01-20 00:00:00,2020-05-01 00:00:00,13°9′51″N 59°17′16″W,unknown
218,00165,"Jones, Allen and Powell Clinic (St.)💊",polyclinic,unknown,235,St. George,2021-06-24 00:00:00,2023-07-17 00:00:00,"12.70265, -59.15354",unknown
220,167,Fields-Johnson Medical Center,community health centre,bed,327,St. Lucy,2021-06-06 00:00:00,2020-10-09 00:00:00,POINT(-58.75518 12.82892),none
222,00168,Anderson LLC Polyclinic (st.),hospital,bed,274,St. Michael,2023-07-23 00:00:00,2025-11-03 00:00:00,POINT(-59.18973 13.29045),none
226,00171,Khan-Jones 🏥,community health centre,bed,7,Christ Church,2023-04-06 00:00:00,2023-03-27 00:00:00,unknown,unknown
230,00174,Peterson Inc©,hospital,cot,369,St. George,2025-04-13 00:00:00,2022-07-03 00:00:00,13°13′53″N 59°8′53″W,Loved it
231,HF-0175,Singh-Inc,polyclinic,bed,175,St. Andrew,unknown,2022-03-06 00:00:00,POINT(-58.82049 12.90014),Good
233,177,"Rivera,-Walker-and-Alexander (st.)",community health centre,unknown,20,St. John,2023-01-21 00:00:00,2024-10-21 00:00:00,"13.08860, -59.17347",unknown
234,e09941,"Nelson, Hill and Odonnell",clinic,unknown,unknown,St. George,2025-11-09 00:00:00,2022-08-24 00:00:00,-59.29135;13.11993,unknown
237,180,Washington Inc Health Centre (St),unknown,bed,10,St. George,2018-05-05 00:00:00,2023-10-18 00:00:00,12°43′39″N 59°15′37″W,unknown
239,HF-0181,Walker-Oneal Hospital (ChristChurch)💊,community health centre,bed,10,Christ Church,2025-12-12 00:00:00,2022-11-18 00:00:00,POINT(-58.84277 13.07029),none
240,182,Zamora-Ltd (St.),hospital,bed,30,St. George,2020-05-05 00:00:00,2018-06-25 00:00:00,-58.76495;13.26066,unknown
241,00183,"Butler, Ramos and Anderson 🏥 (St.)💊",polyclinic,bed,10,St. Andrew,2024-11-06 00:00:00,unknown,12°54′43″N 59°7′45″W,Loved it
243,8232bf,Wolfe Ltd Polyclinic,community health centre,unknown,unknown,St. Andrew,2021-08-24 00:00:00,2019-05-11 00:00:00,POINT(-58.75046 12.80114),Follow-up 2023
244,186,Medina-and-Sons Hospital (christ),unknown,unknown,unknown,Christ Church,2019-06-23 00:00:00,2020-08-07 00:00:00,unknown,none
245,HF-0187,Rhodes and Sons (ST.),hospital,bed,215,St. Lucy,2023-09-15 00:00:00,2023-06-09 00:00:00,-58.75448;13.13166,Needs upgrade
246,HF-0188,Myers Inc Medical Center,unknown,bed,406,St. Peter,2020-12-19 00:00:00,2023-12-25 00:00:00,"-58.70913, 13.00881",none
250,3e22ac,"King-Smith Infirmary
NewLine",unknown,unknown,unknown,St. Peter,2020-07-03 00:00:00,2025-05-31 00:00:00,unknown,unknown
251,HF-0192,"Barnett, Lee and Malone Hosp. (st.)",hospital,bed,10,St. Andrew,2025-07-16 00:00:00,2020-03-26 00:00:00,"-59.23382, 13.15991", 
253,22fe4e,"Conrad,-Clark-and-Wong 🏥",clinic,bed,10,St. John,2016-09-01 00:00:00,2018-05-31 00:00:00,-58.76118;12.98474, 
255,00195,"Jackson, Lynn and Jones Infirmary",community health centre,bed,10,St. Michael,2022-08-04 00:00:00,2023-09-05 00:00:00,12°42′34″N 59°9′1″W,unknown
258,197,Reed Group (St.)✨,community health centre,unknown,137,St. George,2021-08-09 00:00:00,2018-12-17 00:00:00,"13.19605, -58.95608",Good
260,0e7646,"Lewis,-Hill-and-Love",community health centre,unknown,unknown,St. Michael,2021-01-29 00:00:00,2021-06-30 00:00:00,"-58.72898, 13.08813",Good
261,00199,Anderson-Esparza Health Centre (egroeG),polyclinic,bed,191,St. George,2018-03-04 00:00:00,2022-05-08 00:00:00,unknown,Needs upgrade
262,HF-0200,"Austin, Smith and Hamilton Hosp.",clinic,unknown,unknown,Christ Church,2025-08-10 00:00:00,2023-06-08 00:00:00,"12.70468, -58.77693", 
263,201,Holmes and Sons,community health centre,bed,339,St. Andrew,2025-06-11 00:00:00,2023-06-23 00:00:00,13°10′30″N 59°8′43″W,unknown
264,b16cad,Smith-Carlson Clinic,clinic,bed,39,St. Andrew,2017-04-22 00:00:00,2024-05-17 00:00:00,"13.27582, -58.86276",Reinspection due
266,203,Flores-Group Hospital (St.),polyclinic,unknown,126,St. Andrew,2024-05-06 00:00:00,2019-04-10 00:00:00,POINT(-58.86937 12.77601),unknown
267,00204,"Baker, Castaneda and Erickson Clinic",community health centre,unknown,unknown,St. John,2017-06-17 00:00:00,2019-10-22 00:00:00,-58.85114;12.70715,Reinspection due
269,00205,Wheeler-PLC Infirmary (St),community health centre,unknown,96,St. John,2020-12-03 00:00:00,2022-12-03 00:00:00,12°54′34″N 59°2′59″W,Reinspection due
273,#208,Best-Frederick Clinic,community health centre,unknown,358,Christ Church,2024-12-25 00:00:00,2020-08-22 00:00:00,-59.26609;13.03765,unknown
274,#209,Wilson and Sons Clinic,unknown,bed,33,St. James,2023-10-23 00:00:00,2018-01-12 00:00:00,POINT(-58.73195 12.88859),Good
275,HF-0210,Vasquez-PLC (St.),community health centre,bed,193,St. John,2022-08-02 00:00:00,2021-01-22 00:00:00,"13.26684, -58.75149", 
276,00211,Marquez-Rodgers Infirmary,polyclinic,unknown,260,St. James,2018-05-22 00:00:00,2024-07-01 00:00:00,unknown,Follow-up 2023
278,ae7f62,Jones-Griffith 🏥,unknown,bed,19,St. Andrew,2018-12-22 00:00:00,2019-03-07 00:00:00,unknown,unknown
281,215,Bautista-Wilson Health Centre,polyclinic,bed,10,St. Lucy,2020-09-17 00:00:00,2021-01-19 00:00:00,-58.72884;13.09899,Follow-up 2023
282,216,Jackson-Gordon Health Centre (St.),community health centre,unknown,unknown,St. Andrew,2023-05-20 00:00:00,2023-11-27 00:00:00,POINT(-59.00658 12.96594),unknown
283,#217,Cummings-Todd Infirmary,community health centre,unknown,unknown,Christ Church,2019-06-13 00:00:00,2021-08-29 00:00:00,"12.92895, -58.84986",Needs upgrade
284,61be3b,Lee-Smith,unknown,unknown,unknown,St. Lucy,2022-12-12 00:00:00,2018-06-23 00:00:00,POINT(-59.07544 13.13954),unknown
286,HF-0220,Simmons Ltd Hospital,community health centre,unknown,unknown,St. Jospeh,2018-02-19 00:00:00,2018-09-11 00:00:00,"-58.90684, 13.17857", 
288,00222,"Moore,-Thomas-and-Mcfarland Hosp. (St.)",clinic,unknown,unknown,St. George,2018-03-18 00:00:00,2024-03-20 00:00:00,-58.75262;13.18028,Needs upgrade
289,#223,Becker-Fernandez Medical Center (ST.),unknown,bed,495,St. Peter,2023-05-27 00:00:00,2023-12-18 00:00:00,"12.84023, -58.73843",unknown
290,00224,Ramos-Ingram Medical Center (ChristChurch),community health centre,unknown,72,Christ Church,2022-05-15 00:00:00,2024-02-26 00:00:00,unknown,Follow-up 2023
