facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
015,"Martinez, Williams and Ellis Polyclinic (St.James)",Hospital,N/A,St.James,01-07-17,08-01-23,12°58′58″N 59°13′20″W,Follow-up 2023
af30f0,Bradley PLC,Clinic,N/A,St. George,20-08-20,16/05/18,12°51′29″N 59°7′49″W,♥
00017,Wagner LLC 🏥,,ten beds,ChristChurch,12-09-16,24 Jul 2023,"13.09928, -58.88444",♥
6f82f6,Case and Sons Polyclinic,Polyclinic 🏥,166 bed,St. James,10 Sep 2018,25-09-24,"13.07409, -58.84039",
00019,"Rodriguez, Mayer and Hamilton",Clinic,474 cots,St Joseph,December 31 2025,27-02-24,-58.71602;12.98428,
2ba130,Brown PLC Polyclinic,Polyclinic 🏥,,St James,July 07 2016,28 May 2024,12°43′45″N 59°17′10″W,Reinspection due
2ba130,Brown PLC Polyclinic,Polyclinic 🏥,,St James,July 07 2016,28 May 2024,12°43′45″N 59°17′10″W,Reinspection due
,Guerrero PLC Hospital (ST.),Health Ctr.,unknown,ST. GEORGE,20191225,2023-05-31,"-59.10385, 12.84030",Reinspection due
022,Baker-Taylor Hosp.,,N/A,St. Joseph ,02/04/18,20190602,"-59.24115, 12.70994",
022,Baker-Taylor Hosp.,,N/A,St. Joseph ,02/04/18,20190602,"-59.24115, 12.70994",
#23,"Allen, Riley and Kennedy©",Hospital,unknown,St. Peter Parish,22 Oct 2025,2022-10-31,N/A,Reinspection due
23,"Allen, Riley and Kennedy©",Hospital,unknown,ST. PETER PARISH,22 Oct 2025,2022-10-31,N/A,Reinspection due
024,Lowe-Morris Health Centre,Community Health Ctr.,408,St.John,01-04-17,23-11-25,N/A,-
HF-0025,"Adams,-Silva-and-Davidson Medical Center (St.)",,99 cots,St. George Parish,September 03 2021,12-11-25,POINT(-59.06883 13.11901),-
NULL,"Lopez, Allen and Estrada Hosp. (st.)",Hosp.,285 cots,st. michael,October 14 2018,2023-05-20,N/A,Reinspection due
3b7308,"Miller, Pennington and Blake",Hospital,N/A,St.Peter,June 23 2022,May 02 2022,-58.84368;12.85638,
00028,Johnson Group Clinic,Health Centre,ten beds,St.Michael,25 Jul 2023,2021-06-25,POINT(-59.24123 13.12849),♥
00028,Johnson Group Clin.,Health Centre,ten,St.Michael,25 Jul 2023,2021-06-25,POINT(-59.24123 13.12849),♥
029,"Bentley, Scott and Graves Clinic",,N/A,St. Joseph,22 Dec 2019,20191030,"13.24629, -58.98848",-
029,"Bentley, Scott and Graves Clinic",,N/A,St. Joseph,22 Dec 2019,20191030,"13.24629, -58.98848",-
030,Owens Ltd 🏥 (semaJ),Hosp.,495 capacity,semaJ .tS,08-03-22,February 28 2025,POINT(-58.80217 13.14441),Follow-up 2023
030,Owens Ltd 🏥 (semaJ),Hosp.,495 capacity,semaJ .tS,08-03-22,February 28 2025,POINT(-58.80217 13.14441),Follow-up 2023
00031,"Price, Andrews and Scott Medical Center",Community Health Ctr.,N/A,St. Andrew ,22-07-23,06 Nov 2019,N/A,
,"Young, Dickerson and Wells",Health Ctr.,416 patients,st. peter,2022-04-03,20231102,POINT(-59.23137 12.99300),Good
033,Cook-Dean (CHRIST),Clinic🌡️,42 bed,CHRIST CHURCH,04/04/24,July 22 2020,-59.05377;13.23725, 
033,Cook-Dean (CHRIST),Clinic🌡️,42 bed,CHRIST CHURCH,04/04/24,July 22 2020,-59.05377;13.23725, 
776a5f,"Cook, Potter and Fritz (christ)",Health Ctr.,N/A,christ church,27-12-25,April 21 2023,POINT(-58.83182 12.77064),
00035,Johnson Ltd Hosp. (nhoJ),Community Health Centre,295,nhoJ .tS,20170120,29/07/24,12°58′33″N 58°56′32″W,♥
00036,Harvey PLC Clinic (ST.),,,ST. PETER,21 Aug 2021,20-05-22,-59.18486;13.03728,Needs upgrade
00036,Harvey PLC Clin. (ST.),,,ST. PETER,21 Aug 2021,20-05-22,-59.18486;13.03728,Needs upgrade
00037,Jones Group Hosp. (St.),Clinic,75 beds,St. George ,December 30 2020,03/11/22,"13.29409, -58.72088",Good
00037,Jones Group Hosp. (St.),Clinic,75,St. George ,December 30 2020,03/11/22,"13.29409, -58.72088",Good
038,Chapman PLC 🏥 (Christ),Health Ctr.,375Beds,Christ Church,February 11 2025,05 Jan 2018,POINT(-59.15735 12.70734),Good
da683e,"Good,-Martin-and-Wade",Hospital,ten beds,St.Lucy,31 Jan 2022,06 Apr 2019,POINT(-58.98195 12.80190),-
#40,Taylor-Turner Health Centre (St.),Community Health Ctr.,424 patients,St. George,2017-11-18,09/02/21,"-58.77812, 13.24369",Needs upgrade
a677b0,"Richardson,-Spencer-and-Johns Hosp.",Clinic🌡️,56Beds,CHRIST CHURCH,20201217,20211008,POINT(-59.04428 12.74772),Follow-up 2023
a677b0,"Richardson,-Spencer-and-Johns Hosp.",Clinic🌡️,56Beds,CHRIST CHURCH,20201217,20211008,POINT(-59.04428 12.74772),Follow-up 2023
042,Kennedy-Arnold Infirmary,CHC,123 capacity,St.Joseph,20250824,2018-11-09,N/A,Follow-up 2023
042,Kennedy-Arnold Infirmary,CHC,123 capacity,St.Joseph,20250824,2018-11-09,N/A,Follow-up 2023
#43,"Grimes, Wilson and Harvey Health Centre",,353 cots,St Michael,20240413,20210919,-58.86839;13.12192,Good
#44,Nguyen-Poole Health Centre (St),Clinic🌡️,387Beds,St Lucy,06-01-17,March 23 2022,N/A,Good
#44,Nguyen-Poole Health Centre (St),Clinic🌡️,387Beds,St Lucy,06-01-17,March 23 2022,N/A,Good
00045,Pierce and Sons Polyclinic,Clinic,ten beds,st. peter,2024-11-24,01/06/20,POINT(-59.15415 13.04323),Reinspection due
00045,Pierce and Sons Polyclinic,Clinic,ten beds,st. peter,2024-11-24,01/06/20,POINT(-59.15415 13.04323),Reinspection due
#46,Contreras-Moreno Hospital,Health Ctr.,99 patients,st. michael,28-08-16,24/11/24,POINT(-58.99580 13.11947),♥
#46,Contreras-Moreno Hospital,Health Ctr.,99 patients,st. michael,28-08-16,24/11/24,POINT(-58.99580 13.11947),♥
,Jones-Moon,Community Health Ctr.,391,St James,21/10/23,20180920,"13.18918, -59.29334",Good
NULL,"Ramirez, Cooper and Stone Hospital (St)",Hospital,193 bed,St Andrew,20241230,2021-10-24,"-58.76473, 12.82983",Follow-up 2023
NULL,"Ramirez, Cooper and Stone Hosp. (St)",Hospital,193 bed,St Andrew,20241230,2021-10-24,"-58.76473, 12.82983",Follow-up 2023
00049,Shepard-PLC,Clinic🌡️,N/A,St.Joseph,19 Jun 2016,2023-04-08,13°3′0″N 58°48′9″W, 
00049,Shepard-PLC,Clinic🌡️,N/A,St.Joseph,19 Jun 2016,2023-04-08,13°3′0″N 58°48′9″W, 
00050,"Bean, Colon and Baird Infirmary",Clinic,unknown,St. Lucy,22-03-24,2024-07-03,13°16′37″N 58°52′22″W,♥
00050,"Bean, Colon and Baird Infirmary",Clinic,unknown,ST. LUCY,22-03-24,2024-07-03,13°16′37″N 58°52′22″W,♥
NULL,"Pierce, Glenn and Norton Hosp.✨",,430 patients,St. Lucy Parish,10-06-25,20240404,"13.15939, -59.20132",Good
cc6b95,Day-Payne,Health Centre,497 patients,St Joseph,06/01/23,June 22 2024,-58.91812;13.04085,Good
053,Turner-and-Sons,Polyclinic 🏥,226 bed,St. James ,2023-03-28,20250730,13°15′17″N 58°51′40″W,Good
054,"Thomas-Rogers Clinic
NewLine",,308 cots,Christ Church,January 30 2021,10 Jul 2022,POINT(-58.91888 13.24203),Good
054,"Thomas-Rogers Clin.
NewLine",,308 cots,Christ Church,January 30 2021,10 Jul 2022,POINT(-58.91888 13.24203),Good
#55,Thompson-Macias Hosp.,,47 patients,ST. GEORGE,04 May 2016,03/11/21,-59.03403;12.79026,-
#56,"Webb,-King-and-Logan©",Clinic🌡️,223 patients,st. michael,20171205,19-03-18,"12.73912, -59.05921",Reinspection due
057,Taylor-Welch 🏥 (ST.),Clinic,unknown,ST. PETER,January 09 2024,2022-03-03,13°11′17″N 59°13′59″W,
057,Taylor-Welch 🏥 (ST.),Clinic,unknown,ST. PETER,January 09 2024,2022-03-03,13°11′17″N 59°13′59″W,
a6886a,Walton-Hensley,Hosp.,ten beds,St.Lucy,03/05/22,2018-01-18,"13.24493, -59.10481",-
059,Luna LLC Health Centre,Community Health Ctr.,unknown,St.Michael,2024-02-02,January 22 2025,"12.99003, -59.21087",♥
060,Salazar LLC 🏥💊,Health Ctr.,unknown,St.Joseph,30-11-25,22/02/19,N/A,
#61,Mccarty-Atkins Infirmary,Hospital,100Beds,St. James ,11-08-24,February 12 2022,N/A,
062,Stevenson-Powell Hospital (ST.),,300 cots,ST. ANDREW,20180510,09 May 2021,POINT(-59.27002 13.11210),♥
062,Stevenson-Powell Hosp. (ST.),,300 cots,ST. ANDREW,20180510,09 May 2021,POINT(-59.27002 13.11210),♥
,Perry Inc (St),CHC,N/A,St Lucy,06/11/21,January 19 2024,13°4′46″N 59°8′8″W,-
6b470a,Brown-Harrison (ST.),Polyclinic 🏥,316 patients,ST. JOSEPH,16 Oct 2019,18 Jun 2020,-59.11447;13.02715,
,Craig-Mitchell Hosp. (St.Peter),,236 patients,St.Peter,20190508,27 Jul 2025,N/A,
,Craig-Mitchell Hosp. (St.Peter),,236 patients,St.Peter,20190508,27 Jul 2025,N/A,
066,Nelson-Long Hosp. (Christ),Hosp.,38 bed,Christ Church Parish,01 Apr 2017,20180521,-58.71194;13.01829,-
,Williams Group Hospital,Community Health Ctr.,422,hpesoJ .tS,20190805,20 Sep 2025,POINT(-59.20678 12.84610),Follow-up 2023
,Williams Group Hosp.,Community Health Ctr.,422,hpesoJ .tS,20190805,20 Sep 2025,POINT(-59.20678 12.84610),Follow-up 2023
068,Henderson Ltd Hospital (ST.),,,ST. JAMES,20-09-16,27 Sep 2019,"-59.28952, 13.18085",Needs upgrade
,"Davis,-Hernandez-and-Simon Infirmary",Community Health Centre,466Beds,ST. ANDREW,20190913,28-07-22,"-58.72388, 12.88048",
070,Wiggins-Rivas Medical Center (St.)💊,Health Ctr.,115 beds,St. Lucy ,March 05 2025,20230511,"-58.82087, 13.26942", 
070,Wiggins-Rivas Medical Center (St.)💊,Health Ctr.,115 beds,St. Lucy ,March 05 2025,20230511,"-58.82087, 13.26942", 
071,"Barnes-Mccarty
NewLine",,246 beds,semaJ .tS,February 04 2023,09 Oct 2021,N/A,-
#72,Jimenez-Rodgers Hospital,Hosp.,,Christ Church Parish,12/01/22,19-07-23,-58.89774;12.70043,
#73,Chambers-Hickman (St.John),Clinic,322Beds,St.John,March 22 2016,20240709,N/A,-
#73,Chambers-Hickman (St.John),Clinic,322Beds,St.John,March 22 2016,20240709,N/A,-
HF-0074,Lindsey-Li 🏥 (St),Clinic,N/A,St Peter,21-11-25,March 23 2019,"13.19106, -58.83552",Reinspection due
075,Kim Inc Clinic,,unknown,Christ Church Parish,09/04/17,02/02/18,POINT(-59.13231 13.11191),Reinspection due
075,Kim Inc Clinic,,unknown,CHRIST CHURCH PARISH,09/04/17,02/02/18,POINT(-59.13231 13.11191),Reinspection due
076,Davis-Salazar Medical Center (St.),Clinic🌡️,176 cots,St. Andrew ,18/01/24,2024-07-28,N/A,
00077,Fields-Sloan Medical Center,Polyclinic,N/A,St Michael,30/07/21,August 14 2020,-58.70963;12.85988,Needs upgrade
e2b345,"Malone, Jones and Robbins Infirmary",Community Health Centre,480 patients,leahciM .tS,08-08-23,02-11-20,"-59.03151, 12.96314",Reinspection due
,"Cox,-Washington-and-Blair (St.)",Community Health Centre,N/A,St. James ,27/11/17,2021-12-28,-59.22164;12.83182,Reinspection due
NULL,"Lawrence-Nguyen Medical Center (Christ)
NewLine",Polyclinic 🏥,,Christ Church,20-12-25,21/10/25,"-58.76112, 13.26527",
NULL,"Lawrence-Nguyen Medical Center (Christ)
NewLine",Polyclinic 🏥,,Christ Church,20-12-25,21/10/25,"-58.76112, 13.26527",
,"Sellers, Gibson and Klein Polyclinic (nhoJ)",Health Centre,21 bed,nhoJ .tS,24-03-21,05 Mar 2023,N/A,
082,Green-Gill Polyclinic,Health Ctr.,,christ church,May 06 2020,24 May 2022,N/A,Follow-up 2023
082,Green-Gill Polyclinic,Health Ctr.,,CHRIST CHURCH,May 06 2020,24 May 2022,N/A,Follow-up 2023
083,"Williams, Schwartz and Bishop Hospital (werdnA)",,230 bed,werdnA .tS,23/08/22,10-04-24,"-59.27525, 12.94418",
083,"Williams, Schwartz and Bishop Hosp. (werdnA)",,230 bed,WERDNA .TS,23/08/22,10-04-24,"-59.27525, 12.94418",
,Williams-Inc Health Centre (St.),,346 capacity,St. Michael ,June 01 2024,September 03 2023,"13.03765, -58.84780",Needs upgrade
NULL,Solis PLC 🏥,Clinic🌡️,N/A,St. James,03-06-17,May 09 2018,-58.86853;13.25454, 
#86,Hill-Camacho Health Centre,Clinic,134 bed,St. Joseph Parish,May 22 2021,05-06-25,"-58.98870, 12.99454",
NULL,"Williams, Sanders and Turner Health Centre",Health Ctr.,310 beds,St.John,2019-07-31,20240925,"-58.98132, 12.88486",Follow-up 2023
,Liu-Perez 🏥,Health Ctr.,69 patients,St. Andrew Parish,16/08/16,03/02/18,N/A,Reinspection due
#89,Snyder-Morales Medical Center (St.),Clinic🌡️,166 patients,St. Joseph ,03/11/21,26-12-18,12°44′40″N 59°6′27″W,Good
#89,Snyder-Morales Medical Center (St.),Clinic🌡️,166 patients,St. Joseph ,03/11/21,26-12-18,12°44′40″N 59°6′27″W,Good
,Garcia LLC Hosp. (St.Michael),Community Health Centre,,St.Michael,June 09 2018,30 Sep 2025,13°11′7″N 59°6′51″W,Good
,Garcia LLC Hosp. (St.Michael),Community Health Centre,,St.Michael,June 09 2018,30 Sep 2025,13°11′7″N 59°6′51″W,Good
HF-0091,"Pineda Group
NewLine",Hosp.,62 bed,Christ Church Parish,2019-02-19,15/05/24,N/A,
NULL,Cole-Inc Hospital (st.)💊,Polyclinic 🏥,167Beds,st. joseph,13 Dec 2019,2020-09-30,"-58.86443, 13.15694",♥
NULL,Cole-Inc Hospital (st.)💊,Polyclinic 🏥,167Beds,ST. JOSEPH,13 Dec 2019,2020-09-30,"-58.86443, 13.15694",♥
0ca67e,Anderson-Stokes,CHC,468 cots,St. Michael Parish,20250713,02 Apr 2021,12°56′25″N 58°54′48″W,
0ca67e,Anderson-Stokes,CHC,468 cots,St. Michael Parish,20250713,02 Apr 2021,12°56′25″N 58°54′48″W,
#94,Fox Ltd (St.),Clinic,191 patients,St. Peter,06 May 2016,20211006,"12.95493, -59.11045",Needs upgrade
095,"Ray, Smith and Turner Hosp. (st.)",Community Health Centre,345 patients,st. lucy,20160605,10 Jan 2021,"13.07508, -58.70656",Good
d72c1e,Cruz Ltd Health Centre (ST.),Community Health Ctr.,ten beds,ST. JOSEPH,27-12-24,13 Jun 2021,POINT(-58.70674 13.06407),Follow-up 2023
,"Kelly, Cervantes and Salinas",CHC,417 bed,ST. GEORGE,03 Dec 2016,19/09/19,"12.70497, -59.19715",Follow-up 2023
,"Kelly, Cervantes and Salinas",CHC,417 bed,ST. GEORGE,03 Dec 2016,19/09/19,"12.70497, -59.19715",Follow-up 2023
427288,"Johnson, Miller and Flores 🏥 (ST.)",Polyclinic 🏥,85Beds,ST. MICHAEL,28 Jul 2020,20200311,"13.23448, -59.04058",Follow-up 2023
HF-0099,Gallegos PLC (christ),Hospital,unknown,christ church,06/07/17,2025-06-19,"-59.14330, 13.22849",Good
HF-0100,Daniels-Murphy 🏥,Community Health Ctr.,N/A,St. James ,2022-12-14,2023-05-28,N/A,♥
HF-0100,Daniels-Murphy 🏥,Community Health Ctr.,N/A,ST. JAMES ,2022-12-14,2023-05-28,N/A,♥
8c3ae9,Clark-Flynn©,Clinic,unknown,St. John Parish,20190421,27/08/21,"-59.11628, 13.22592",
8c3ae9,Clark-Flynn©,Clinic,unknown,ST. JOHN PARISH,20190421,27/08/21,"-59.11628, 13.22592",
102,Harris-Esparza (ChristChurch),Community Health Ctr.,488,ChristChurch,20250730,07 Oct 2021,N/A,♥
102,Harris-Esparza (ChristChurch),Community Health Ctr.,488,CHRISTCHURCH,20250730,07 Oct 2021,N/A,♥
00103,Gray-Turner Clinic (st.),Health Centre,64 bed,st. michael,December 16 2024,11-08-21,N/A,-
104,George Ltd Clinic (St)©,Community Health Centre,71 cots,St Andrew,May 24 2018,2024-08-11,"-58.87857, 13.05713",Reinspection due
HF-0105,Green-Manning Health Centre,Hosp.,unknown,christ church,08-08-19,28-08-24,POINT(-58.98327 12.71436),Follow-up 2023
NULL,Levy-Rogers Infirmary (st.),CHC,307Beds,st. michael,25-10-16,November 15 2022,N/A,
NULL,Levy-Rogers Infirmary (st.),CHC,307Beds,ST. MICHAEL,25-10-16,November 15 2022,N/A,
#107,Mcbride LLC Clinic (st.),Clinic🌡️,101,st. andrew,17-08-20,2019-06-03,12°47′21″N 59°4′33″W,
NULL,"Hansen, Serrano and Ramirez Health Centre (St)©",Community Health Ctr.,N/A,St James,10-12-21,20180819,13°0′28″N 59°7′38″W,
#109,Camacho-Cross Hosp.,,N/A,ST. LUCY,2025-07-01,20190523,POINT(-58.97269 12.85044),Good
109,Camacho-Cross Hosp.,,N/A,ST. LUCY,2025-07-01,20190523,POINT(-58.97269 12.85044),Good
110,"Walker, Ortiz and Hansen Hosp. (St)",Clinic🌡️,285 bed,St John,2017-08-13,2020-07-20,-58.80099;13.14742,
110,"Walker, Ortiz and Hansen Hosp. (St)",Clinic🌡️,285 bed,ST JOHN,2017-08-13,2020-07-20,-58.80099;13.14742,
#111,Hardy-Contreras (St.),Health Ctr.,ten beds,St. Peter ,14-12-20,20211003,13°16′51″N 59°7′53″W,Good
2d8089,"Richardson,-Morales-and-Terry Health Centre",Health Ctr.,N/A,St. James ,2024-08-17,20191216,13°1′1″N 58°59′37″W,
00113,Miller-Shelton Infirmary (hpesoJ),Clinic🌡️,N/A,hpesoJ .tS,2020-03-15,22 Feb 2019,12°59′6″N 59°1′9″W,
00113,Miller-Shelton Infirmary (hpesoJ),Clinic🌡️,N/A,hpesoJ .tS,2020-03-15,22 Feb 2019,12°59′6″N 59°1′9″W,
00114,"Walsh,-Garcia-and-Knox 🏥",Clinic,314,ST. JAMES,30 Apr 2017,08-06-24,"13.12108, -58.78480",Reinspection due
00115,Mcdaniel Inc Health Centre,Polyclinic,75Beds,ST. JAMES,May 23 2023,20221010,"-59.02809, 13.03301",-
HF-0116,Harrison-White (St.),Health Centre,28 beds,St. John ,14/08/22,2021-03-24,"-59.21310, 12.73681",Needs upgrade
HF-0117,Adams-Curry Hosp.,,43 patients,St Michael,October 22 2018,October 13 2024,"13.09176, -59.19394", 
HF-0118,Brady PLC,Hosp.,,St. Michael ,February 19 2021,31-03-19,"13.06796, -58.97284", 
00119,Smith-Lloyd Medical Center (St.),,136 bed,St. James,10-07-21,24 Feb 2019,-59.09180;12.82763,Good
00120,"Perez, Hopkins and Smith 🏥",Polyclinic,unknown,St.John,January 18 2017,24-04-24,POINT(-59.22920 13.09093),
,"Erickson,-King-and-Mack Hospital (St.George)",CHC,N/A,St.George,20200725,12/06/21,12°52′16″N 59°10′29″W,Follow-up 2023
,"Erickson,-King-and-Mack Hosp. (St.George)",CHC,N/A,St.George,20200725,12/06/21,12°52′16″N 59°10′29″W,Follow-up 2023
#122,"Hayes,-Brown-and-Hood Polyclinic",,351 cots,St. John,10/05/20,15/02/25,POINT(-59.14294 12.99770),Follow-up 2023
#123,Stewart-Webb 🏥 (Christ),Health Centre,ten beds,Christ Church,2018-11-16,13/10/19,13°14′24″N 59°15′8″W,Good
#123,Stewart-Webb 🏥 (Christ),Health Centre,ten beds,Christ Church,2018-11-16,13/10/19,13°14′24″N 59°15′8″W,Good
124,Fowler-Wright Infirmary (St.),CHC,,St. Peter,2025-06-09,2018-05-25,13°2′53″N 58°48′3″W,Reinspection due
125,"Anderson, Wagner and Williams Hospital",Clinic,299Beds,St.James,29 Aug 2020,2019-06-28,13°1′20″N 58°50′36″W, 
HF-0126,Moore-Brown Clinic (Christ),Polyclinic,328 bed,Christ Church,31/10/20,20191221,-58.89934;13.13815, 
HF-0126,Moore-Brown Clin. (Christ),Polyclinic,328 bed,Christ Church,31/10/20,20191221,-58.89934;13.13815, 
af7b16,"Taylor, Cabrera and Swanson Clinic",Health Centre,217 beds,St. John Parish,19 May 2021,16-02-20,N/A,Good
307989,Snyder-Moore,,450 capacity,st. john,20210623,January 28 2025,13°5′46″N 59°11′20″W,♥
129,Swanson-Ltd Hosp. (St),Hosp.,,St Peter,2024-11-30,20241002,"13.00962, -59.27337",♥
,"Gregory, Miller and Watkins Health Centre (St.)",Hosp.,ten beds,St. Peter,18 Jun 2019,15-06-24,"12.97566, -58.97619", 
HF-0131,Clements-PLC Hospital,Clinic,56,St. Lucy ,December 17 2016,14-03-20,12°57′56″N 59°2′14″W,
HF-0131,Clements-PLC Hosp.,Clinic,56,ST. LUCY ,December 17 2016,14-03-20,12°57′56″N 59°2′14″W,
#132,Peterson PLC Clinic,Health Centre,292 cots,egroeG .tS,June 07 2023,07-04-21,POINT(-59.17851 13.20252),Needs upgrade
00133,Woods-Ltd,Health Centre,54 bed,St.John,20230822,27-03-19,13°11′5″N 59°8′5″W,
134,Kerr-Vincent,CHC,ten beds,ST. GEORGE,07 Dec 2020,June 19 2025,"-58.81630, 12.90485",Reinspection due
134,Kerr-Vincent,CHC,ten,ST. GEORGE,07 Dec 2020,June 19 2025,"-58.81630, 12.90485",Reinspection due
NULL,Brown-Lucas Clinic,Polyclinic,422 capacity,St. James,December 23 2018,December 08 2018,-58.84414;12.90411,Reinspection due
a6e6a5,Gutierrez-Lawson Polyclinic (St),Hosp.,210 patients,St Lucy,20220407,20220830,"-58.94292, 12.99588", 
HF-0137,"Garcia, Eaton and Hooper Hosp.",Clinic🌡️,N/A,St. Andrew,January 11 2021,30-07-21,12°45′5″N 58°59′55″W,Reinspection due
NULL,Murphy-Wolfe Infirmary (ST.)✨,Community Health Centre,ten beds,ST. LUCY,2021-04-25,12/11/21,N/A,Needs upgrade
,Thompson-Baker,,151,St. Michael Parish,20230210,20230406,13°7′27″N 59°14′54″W,♥
6df688,Good-Bailey Medical Center (St.),Polyclinic,314 patients,St. John,28/06/19,June 07 2025,"12.77955, -59.19385",Follow-up 2023
a22848,Mercado and Sons (St.John),Polyclinic,199 patients,St.John,20181101,11-11-21,N/A,Reinspection due
a22848,Mercado and Sons (St.John),Polyclinic,199 patients,St.John,20181101,11-11-21,N/A,Reinspection due
f22c91,"Bowen, Curry and Neal Hospital",Clinic🌡️,ten beds,St. Michael Parish,10 Dec 2025,October 18 2021,POINT(-58.79109 13.21132),-
143,Parker-Inc Clinic,Community Health Centre,345 bed,hcruhC tsirhC,20160202,March 23 2022,POINT(-58.79975 12.96476),Follow-up 2023
0d5aae,Curtis Inc Medical Center,,unknown,St. Peter Parish,24/12/23,October 06 2023,-58.83137;13.29130,-
HF-0145,"Arnold, White and Barrett Clinic (semaJ)",Health Centre,199 bed,semaJ .tS,20250831,2019-03-18,N/A,
146,Ward-Hudson Hospital,Health Centre,495 patients,ST. LUCY,2017-07-03,20181005,POINT(-58.77636 12.81417),-
,Patterson and Sons Hosp.,Health Centre,221 bed,St. John ,20250716,2018-03-11,"-59.02995, 12.90651",
148,"Mccarthy,-Andersen-and-Jones",CHC,unknown,St George,19/11/22,01-07-24,13°0′11″N 59°7′1″W,Good
148,"Mccarthy,-Andersen-and-Jones",CHC,unknown,St George,19/11/22,01-07-24,13°0′11″N 59°7′1″W,Good
#149,Bell-and-Sons Infirmary,,,St. Joseph ,07 Feb 2022,20230624,-58.96930;13.08021,-
00150,"Hancock, Sanchez and Lin Health Centre (st.)",Community Health Ctr.,N/A,st. michael,July 06 2020,22/06/24,POINT(-58.77626 12.73962),Follow-up 2023
00150,"Hancock, Sanchez and Lin Health Centre (st.)",Community Health Ctr.,N/A,st. michael,July 06 2020,22/06/24,POINT(-58.77626 12.73962),Follow-up 2023
,Gordon-Lozano Infirmary,CHC,417 bed,st. michael,November 15 2016,October 22 2019,12°50′37″N 59°13′32″W,Reinspection due
,"Davis,-Carter-and-Johnson Hospital",,113 bed,semaJ .tS,May 24 2020,32/13/99,POINT(-59.00715 12.80279),-
,"Davis,-Carter-and-Johnson Hospital",,113 bed,semaJ .tS,May 24 2020,32/13/99,POINT(-59.00715 12.80279),-
NULL,Wilkins-Inc 🏥 (ChristChurch),Community Health Centre,5 capacity,ChristChurch,2020-08-26,11/03/22,POINT(-59.07413 12.78907),-
NULL,Hall-Cox Hospital,Community Health Ctr.,477Beds,Christ Church Parish,August 17 2024,2020-10-05,-58.97179;12.73379,
#155,Graves and Sons,Health Centre,129 beds,St. Michael,05-12-23,08/11/20,"-58.79872, 13.29619",♥
NULL,Freeman-Newton,Clinic🌡️,263 beds,St.Peter,14/12/16,07/07/24,POINT(-59.05694 12.94787),
HF-0157,Cisneros and Sons Medical Center,Community Health Ctr.,344 bed,St. Peter,10/09/20,2019-10-25,"13.07899, -58.84994",
